n,Quality
1807,12.5538
1808,12.2999
1809,12.8202
1810,13.1419
1811,13.5023
1812,12.3928
1813,11.1623
1814,11.3372
1815,11.695
1816,11.9953
1817,12.5771
1818,12.6812
1819,11.9881
1820,11.4453
1821,11.6794
1822,11.1416
1823,10.6993
1824,10.9283
1825,11.456
1826,11.7605
1827,11.2875
1828,12.1881
1829,11.1133
1830,11.5339
1831,11.5399
1832,11.8997
1833,11.4916
1834,12.199
1835,12.9748
1836,12.6224
1837,11.4302
1838,11.8437
1839,11.7715
1840,12.4298
1841,13.0985
1842,11.9131
1843,11.5735
1844,12.0082
1845,12.1672
1846,11.888
1847,12.3077
1848,12.3829
1849,11.8174
1850,11.8093
1851,10.6517
1852,10.965
1853,10.9435
1854,11.7959
1855,11.7285
1856,12.374
1857,12.4179
1858,12.9924
1859,12.7216
1860,12.8492
1861,12.2748
1862,12.0576
1863,12.2383
1864,12.3359
1865,11.9201
1866,12.2319
1867,12.4674
1868,12.3775
1869,12.0641
1870,12.415
1871,12.0861
1872,11.8379
1873,11.9868
1874,12.4147
1875,12.9474
1876,11.8187
1877,11.9751
1878,11.9566
1879,11.4845
1880,11.7583
1881,12.0663
1882,11.7939
1883,12.4573
1884,11.7425
1885,11.9688
1886,12.538
1887,11.7539
1888,11.7884
1889,12.0695
1890,11.9081
